count_location,ROAD_CLASS,TRAFFCTL,num_of_collisions,total_traffic,average_int_width,years,r
AVENUE RD AND ST GERMAIN AVE,Major Arterial,No Control,2,15365.0,0.015,11,0.21613277144216078
INGLETON BLVD AT MIDDLEFIELD RD & PASSMORE AVE (PX 1685),Minor Arterial,Traffic Signal,4,11919.0,0.015,11,0.5572413848827588
BLOOR ST AT SALEM AVE,Major Arterial,No Control,4,8827.0,0.015,11,0.752436849033375
JANE ST AT LAWRENCE AVE (PX 430),Major Arterial,No Control,9,25412.555555555555,0.015,11,0.5880542048110794
DUNDAS ST W AT PALMERSTON AVE,Major Arterial,No Control,5,8139.0,0.015,11,1.020051613591596
ST CLAIR AVE W AT DEER PARK CRES & GRANITE PL,Major Arterial,No Control,5,12054.0,0.015,11,0.688750629087606
BATHURST ST AT KING ST W,Major Arterial,No Control,6,22459.0,0.015,11,0.4435923282259407
AVENUE RD AT DAVENPORT RD (PX 108),Major Arterial,No Control,10,30829.2,0.015,11,0.5385932870799114
LAWRENCE AVE E AT TOWNLEY AVE,Major Arterial,No Control,14,18246.571428571428,0.015,11,1.2740015472748794
ISLINGTON AVE AT LAKE SHORE BLVD & SEVENTH ST (PX 1325),Major Arterial,No Control,3,9552.0,0.015,11,0.5214949800893217
FINCH AVE AT NEILSON RD (PX 1587),Minor Arterial,Traffic Signal,7,13502.714285714286,0.015,11,0.8607958274380347
ALLINGHAM GDNS AT WILSON AVE (PX 1477),Major Arterial,No Control,8,13030.0,0.015,11,1.019456648721044
COLLEGE ST AT LANSDOWNE AVE (PX 831),Minor Arterial,Traffic Signal,13,13033.76923076923,0.015,11,1.6561379777155414
BATHURST ST AT WELLS ST (PX 1064),Major Arterial,No Control,6,13681.0,0.015,11,0.7282099334570866
MIDLAND AVE AT STEELES AVE E,Major Arterial,Traffic Signal,6,22872.0,0.015,11,0.4355823758143757
CHURCH ST AT GLOUCESTER ST (PX 2530),Minor Arterial,No Control,2,8678.0,0.015,11,0.38267804024070073
DANFORTH AVE AT MAIN ST,Major Arterial,Traffic Signal,6,17613.666666666668,0.015,11,0.5656198841596336
DUNDAS ST W AT STERLING RD (PX 2366),Minor Arterial,Stop Sign,8,14644.125,0.015,11,0.9070886879779573
DAVENPORT RD AT HURON ST,Minor Arterial,Stop Sign,1,6532.0,0.015,11,0.2542008598598286
BLOOR ST AT ISLINGTON AVE (PX 339),Major Arterial,No Control,11,26244.636363636364,0.015,11,0.6959456374086217
LAWTON BLVD AT WAMSLEY BLVD,Local,No Control,2,1231.0,0.015,11,2.6977092065059307
HIGHWAY 401 S TCS AT KENNEDY RD & WILLIAM KITCHEN RD (PX 920),Major Arterial,Traffic Signal,16,37319.4375,0.015,11,0.7118821194898879
DUNDAS ST E AT GEORGE ST,Major Arterial,No Control,8,9238.0,0.015,11,1.4379216424372379
KIPLING AVE AT RATHBURN RD (PX 727),Major Arterial,Stop Sign,6,17141.666666666668,0.015,11,0.5811943665314381
DAN LECKIE WAY AT FG GARDINER UNDERPASS,None,No Control,2,1234.0,0.015,11,2.6911507562470023
CLEVELAND ST AT DAVISVILLE AVE,Collector,Stop Sign,4,6125.0,0.015,11,1.0843689904355267
DANFORTH RD AT ST CLAIR AVE (PX 392),Major Arterial,Traffic Signal,9,19006.555555555555,0.015,11,0.7862529381380485
ST CLAIR AVE AT WARDEN AVE (PX 473),Major Arterial,Traffic Signal,7,27465.85714285714,0.015,11,0.4231828650304306
QUEEN ST E AT DAVIES AVE & EAST DON ROADWAY,Local,No Control,2,8198.0,0.015,11,0.40508417092081006
BROWNLOW AVE AT EGLINTON AVE E,Major Arterial,No Control,6,3957.0,0.015,11,2.517725574836088
QUEEN ST W AT SPADINA AVE,Major Arterial,No Control,19,15461.631578947368,0.015,11,2.040428925912321
ALLANFORD RD AT BIRCHMOUNT RD & SCARDEN AVE (PX 1357),Major Arterial,Traffic Signal,8,14854.0,0.015,11,0.8942722588417398
DIXON RD AT MARTIN GROVE RD,Major Arterial,Traffic Signal,16,30674.0,0.015,11,0.8661094172807721
BATHURST ST AT ANTIBES DR & DREWRY AVE (PX 676),Major Arterial,Traffic Signal,4,23829.25,0.015,11,0.27872300078339024
STEELES AVE E AT MORNINGSIDE AVE,Major Arterial,No Control,4,11560.0,0.015,11,0.5745467185482354
LAWRENCE AVE E AT RAILSIDE RD W & UNDERHILL DR,Major Arterial,No Control,22,33009.0,0.015,11,1.1066581951981824
LAKE CRES AT LAKE SHORE BLVD W,Major Arterial,No Control,7,6533.428571428572,0.015,11,1.7790169417417154
KING ST W AT TECUMSETH ST,Major Arterial,Traffic Signal,5,11823.0,0.015,11,0.7022075685546817
HEATH ST E AT YONGE ST,Major Arterial,No Control,3,8073.0,0.015,11,0.617034565813601
BRIMWOOD BLVD AT SANDHURST CIR W,Collector,Stop Sign,3,6013.0,0.015,11,0.8284250872797607
DUFFERIN ST AT DUNDAS ST W,Minor Arterial,Traffic Signal,8,15422.0,0.015,11,0.8613357627308521
DON VALLEY PKWY E TCS AT YORK MILLS RD (PX 756),Major Arterial,Traffic Signal,3,14622.666666666666,0.015,11,0.3406574302325067
ADELAIDE ST AT GEORGE ST (PX 1963),Major Arterial,Traffic Signal,2,10443.0,0.015,11,0.31800057772754964
COXWELL AVE AT DANFORTH AVE (PX 349),Major Arterial,Traffic Signal,10,16852.3,0.015,11,0.9852898515955687
CHURCH ST AT DUNDAS ST E,Major Arterial,Traffic Signal,3,10987.0,0.015,11,0.45338309363913726
ALLIANCE AVE AT JANE ST (PX 525),Major Arterial,No Control,12,14272.083333333334,0.015,11,1.3961017276795238
OCONNOR DR AT PAPE AVE (PX 442),Major Arterial,Traffic Signal,5,14919.6,0.015,11,0.5564626453136814
GREENWOOD AVE AT PLAINS RD,Collector,Stop Sign,5,3847.0,0.015,11,2.1580972401928777
MARKHAM RD AT TUXEDO CRT (PX 957),Major Arterial,Traffic Signal,6,25206.0,0.015,11,0.3952487542500357
ELM ST AT YONGE ST,Major Arterial,No Control,5,7078.0,0.015,11,1.172958474572196
NASSAU ST AT SPADINA AVE (PX 278),Major Arterial,No Control,5,8108.0,0.015,11,1.0239516629282193
BROADVIEW AVE AT ERINDALE AVE,Minor Arterial,No Control,2,6614.0,0.015,11,0.502098583793287
DOHME AVE AT O CONNOR DR (PX 1720),Major Arterial,Traffic Signal,4,12382.5,0.015,11,0.5363828036678862
DEWSON ST AT OSSINGTON AVE (PX 2431),Minor Arterial,Stop Sign,11,8890.0,0.015,11,2.0545377033350283
AVENUE RD AT EDMUND AVE (PX 173),Major Arterial,Traffic Signal,2,21984.0,0.015,11,0.15105895347565504
FRONT ST E AT SCOTT ST,Minor Arterial,No Control,3,5132.0,0.015,11,0.9706391367523773
KEEWATIN AVE AT MOUNT PLEASANT RD,Major Arterial,Stop Sign,3,12259.0,0.015,11,0.4063398360235909
KING ST W AT SPADINA AVE,Major Arterial,Traffic Signal,8,20874.5,0.015,11,0.6363515357414645
EGLINTON AVE AT GLEN CEDAR RD & OLD PARK RD (PX 101),Major Arterial,Traffic Signal,5,15615.2,0.015,11,0.5316742714164404
BROADVIEW AVE AT GERRARD ST E (PX 374),Minor Arterial,Traffic Signal,8,11831.0,0.015,11,1.1227723888796552
LANSDOWNE AVE AT LN 2 N SEAFORTH E LANSDOWNE,Minor Arterial,No Control,3,5704.0,0.015,11,0.8733029540345724
CARLINGVIEW DR AT DIXON RD (PX 536),Major Arterial,No Control,15,14977.0,0.015,11,1.662989934503973
DANFORTH AVE AT JONES AVE,Major Arterial,No Control,6,11719.0,0.015,11,0.8501271524555339
BLACK CREEK DR AT EGLINTON AVE W (PX 1422),Major Arterial,No Control,12,22684.0,0.015,11,0.8783847733756306
DUFFERIN ST AT QUEEN ST W,Major Arterial,Streetcar (Stop for),10,15814.6,0.015,11,1.0499412040800276
